month,day,height,input,contain,empty,output,sea,cdb,jsb,hgb,hjb,dgb,jgb,sjd
6,23,25.09,719,214.69,29.31,516,591,310.7,302.2,303,286.3,0,0,9
7,19,24.87,701,206.73,37.27,145,454,275.7,270.2,272,262.3,0,0,8
10,31,25.05,0,213.23,30.77,157,,267.7,258.2,265,251.3,0,0,8
9,21,24.86,408,206.37,37.63,507,238,370.7,363.2,364,346.3,3,5,6
10,1,25,237,211.41,32.59,338,272,279.7,269.2,275,250.3,2,1,6
9,22,24.86,411,206.37,37.63,510,216,373.7,363.2,363,340.3,1,1,6
8,21,24.76,406,202.47,41.53,406,576,338.7,331.2,332,314.3,0,0,6
9,21,24.87,507,206.73,37.27,507,248,372.7,366.2,367,349.3,0,3,5
6,15,24.87,431,206.73,37.27,431,136,308.7,298.2,301,283.3,0,0,5
7,31,25.04,162,212.86,31.14,162,293,315.7,303.2,305,287.3,4,7,4
5,7,24.86,375,206.37,37.63,177,135,273.7,268.2,269,254.3,1,5,4
9,21,24.98,272,210.68,33.32,272,154,308.7,302.2,303,288.3,1,4,4
5,31,24.79,579,203.67,40.33,579,334,366.7,355.2,349,304.3,2,2,4
7,3,24.87,689,206.73,37.27,788,159,301.7,291.2,292,273.3,0,1,4
8,31,24.62,769,196.96,47.04,769,492,357.7,342.2,342,318.3,0,4,3
7,3,24.88,685,207.08,36.92,784,186,293.7,283.2,286,268.3,0,3,3
7,3,24.86,689,206.37,37.63,788,133,310.7,300.2,302,285.3,1,2,3
7,3,24.89,684,207.44,36.56,784,212,286.7,278.2,281,267.3,0,2,3
7,3,24.85,689,206.01,37.99,788,178,322.7,309.2,311,293.3,0,2,3
8,31,24.73,386,201.28,42.72,606,223,304.7,293.2,295,280.3,0,2,3
8,31,24.73,386,201.28,42.72,606,233,302.7,293.2,293,278.3,4,1,3
8,31,24.72,496,200.89,43.11,606,178,319.7,306.2,307,287.3,3,1,3
8,31,24.75,493,202.08,41.92,603,254,299.7,289.2,288,274.3,2,1,3
5,16,25,682,211.41,32.59,380,495,328.7,322.2,323,306.3,0,1,3
7,3,24.88,685,207.08,36.92,784,195,293.7,282.2,284,267.3,0,1,3
7,3,24.85,689,206.01,37.99,788,187,324.7,312.2,313,295.3,0,1,3
8,31,24.76,492,202.47,41.53,603,317,295.7,283.2,281,266.3,0,1,3
9,22,24.86,590,206.37,37.63,590,176,369.7,358.2,358,336.3,0,1,3
7,31,25.04,162,212.86,31.14,162,317,325.7,313.2,309,278.3,6,0,3
8,31,24.62,769,196.96,47.04,769,434,356.7,342.2,343,320.3,4,0,3
7,31,25.04,162,212.86,31.14,162,305,322.7,308.2,306,283.3,2,0,3
8,24,24.62,133,196.96,47.04,133,562,364.7,362.2,362,367.3,2,0,3
5,30,24.79,579,203.67,40.33,579,379,350.7,337.2,340,317.3,1,0,3
8,31,24.75,493,202.08,41.92,603,275,293.7,288.2,289,268.3,1,0,3
6,22,25.1,531,215.05,28.95,429,547,303.7,291.2,292,279.3,0,0,3
7,3,24.89,382,207.44,36.56,780,230,282.7,277.2,280,268.3,0,0,3
7,31,25.04,162,212.86,31.14,162,281,308.7,301.2,304,290.3,1,7,2
9,21,24.98,272,210.68,33.32,272,170,310.7,301.2,302,287.3,0,6,2
7,3,24.89,684,207.44,36.56,784,221,283.7,277.2,280,268.3,0,3,2
7,3,24.88,685,207.08,36.92,784,203,286.7,280.2,283,267.3,0,3,2
7,3,24.87,689,206.73,37.27,788,152,302.7,292.2,293,275.3,0,3,2
8,31,24.69,706,199.7,44.3,815,109,339.7,327.2,329,309.3,0,3,2
9,21,24.86,408,206.37,37.63,507,226,374.7,363.2,363,342.3,0,3,2
8,31,24.72,277,200.89,43.11,606,195,313.7,302.2,301,282.3,3,2,2
9,21,24.97,267,210.32,33.68,368,732,301.7,295.2,297,282.3,2,2,2
5,28,24.9,236,207.8,36.2,435,540,313.7,308.2,309,293.3,1,2,2
8,31,24.72,496,200.89,43.11,606,171,321.7,308.2,308,289.3,1,2,2
8,31,24.62,661,196.96,47.04,769,335,357.7,344.2,345,320.3,1,2,2
9,21,24.98,272,210.68,33.32,272,225,304.7,301.2,302,284.3,1,2,2
5,27,24.9,396,207.8,36.2,296,747,295.7,289.2,290,329.3,0,2,2
7,3,24.86,689,206.37,37.63,788,132,307.7,298.2,301,284.3,0,2,2
7,3,24.85,689,206.01,37.99,788,170,320.7,306.2,309,291.3,0,2,2
8,24,24.62,133,196.96,47.04,133,543,378.7,376.2,377,370.3,0,2,2
9,7,24.77,226,202.87,41.13,337,407,440.7,425.2,421,368.3,0,2,2
8,31,24.72,496,200.89,43.11,606,187,317.7,304.2,305,285.3,6,1,2
9,22,24.87,510,206.73,37.27,510,195,370.7,362.2,361,337.3,5,1,2
5,7,24.86,375,206.37,37.63,177,141,275.7,268.2,269,254.3,4,1,2
8,31,24.72,277,200.89,43.11,606,204,312.7,297.2,298,280.3,3,1,2
8,31,24.72,606,200.89,43.11,606,148,325.7,313.2,315,296.3,3,1,2
5,16,24.9,190,207.8,36.2,389,383,384.7,372.2,368,318.3,2,1,2
5,30,24.79,466,203.67,40.33,577,426,317.7,325.2,331,322.3,2,1,2
8,31,24.62,769,196.96,47.04,769,485,356.7,343.2,342,319.3,2,1,2
5,16,25.01,781,211.77,32.23,380,507,328.7,322.2,323,306.3,1,1,2
6,3,24.89,513,207.44,36.56,414,284,300.7,296.2,298,280.3,1,1,2
7,3,24.89,382,207.44,36.56,780,240,281.7,277.2,280,268.3,1,1,2
8,31,24.76,492,202.47,41.53,603,353,284.7,278.2,279,265.3,1,1,2
8,31,24.76,492,202.47,41.53,603,329,294.7,279.2,280,266.3,1,1,2
8,31,24.75,382,202.08,41.92,603,296,296.7,286.2,286,267.3,1,1,2
8,31,24.73,386,201.28,42.72,606,243,301.7,291.2,292,277.3,1,1,2
8,31,24.72,606,200.89,43.11,606,156,325.7,311.2,313,292.3,1,1,2
8,31,24.69,706,199.7,44.3,815,108,337.7,326.2,327,309.3,1,1,2
9,1,24.62,769,196.96,47.04,769,494,358.7,343.2,342,318.3,1,1,2
9,21,24.97,171,210.32,33.68,272,411,299.7,296.2,298,287.3,1,1,2
9,21,24.98,366,210.68,33.32,366,733,300.7,295.2,297,282.3,1,1,2
9,22,24.87,510,206.73,37.27,510,185,368.7,360.2,360,336.3,1,1,2
5,16,24.97,480,210.32,33.68,380,412,327.7,322.2,324,306.3,0,1,2
5,16,25.01,688,211.77,32.23,386,519,329.7,322.2,323,306.3,0,1,2
5,16,25.02,788,212.14,31.86,386,535,329.7,322.2,323,307.3,0,1,2
6,23,25.09,719,214.69,29.31,516,583,309.7,302.2,304,286.3,0,1,2
6,30,24.95,414,209.6,34.4,414,453,352.7,346.2,345,322.3,0,1,2
7,3,24.85,887,206.01,37.99,788,408,344.7,332.2,333,316.3,0,1,2
7,4,24.87,1007,206.73,37.27,809,531,351.7,339.2,340,322.3,0,1,2
9,7,24.82,483,204.87,39.13,372,182,347.7,339.2,340,320.3,0,1,2
9,21,24.98,272,210.68,33.32,272,134,305.7,302.2,304,289.3,0,1,2
8,31,24.7,612,200.1,43.9,832,128,330.7,317.2,318,301.3,3,0,2
5,16,24.92,587,208.52,35.48,388,413,380.7,371.2,368,319.3,1,0,2
5,16,25,688,211.41,32.59,386,480,328.7,322.2,323,306.3,1,0,2
6,10,24.84,459,205.65,38.35,459,173,314.7,307.2,309,293.3,1,0,2
8,31,24.69,500,199.7,44.3,829,110,334.7,324.2,326,308.3,1,0,2
8,31,24.62,769,196.96,47.04,769,456,354.7,342.2,342,319.3,1,0,2
8,31,24.62,769,196.96,47.04,769,494,358.7,343.2,342,317.3,1,0,2
5,1,24.93,310,208.88,35.12,310,225,356.7,352.2,352,332.3,0,0,2
6,3,24.9,543,207.8,36.2,543,191,307.7,300.2,301,280.3,0,0,2
6,22,25.1,531,215.05,28.95,429,531,300.7,290.2,292,278.3,0,0,2
7,3,24.85,689,206.01,37.99,788,164,315.7,305.2,307,290.3,0,0,2
7,29,25.12,174,215.79,28.21,174,166,312.7,306.2,306,286.3,0,0,2
7,29,25.13,276,216.15,27.85,174,156,309.7,304.2,304,284.3,0,0,2
8,31,24.77,603,202.87,41.13,603,363,284.7,277.2,279,265.3,0,0,2
9,21,24.98,272,210.68,33.32,272,211,308.7,301.2,302,285.3,0,0,2
10,1,25,237,211.41,32.59,338,286,286.7,269.2,282,250.3,1,13,1
5,31,24.79,579,203.67,40.33,579,319,369.7,354.2,348,305.3,2,6,1
7,29,25.12,276,215.79,28.21,174,203,295.7,292.2,293,277.3,0,5,1
7,3,24.85,887,206.01,37.99,788,438,345.7,334.2,335,317.3,0,4,1
7,15,24.93,262,208.88,35.12,230,139,320.7,314.2,316,298.3,0,4,1
7,15,24.94,231,209.24,34.76,231,127,315.7,312.2,313,297.3,0,4,1
10,1,24.97,0,210.32,33.68,340,298,284.7,279.2,276,254.3,0,4,1
9,22,24.86,411,206.37,37.63,510,206,371.7,362.2,362,339.3,6,3,1
8,31,24.62,769,196.96,47.04,769,471,355.7,342.2,342,319.3,1,3,1
9,21,24.98,272,210.68,33.32,272,242,305.7,299.2,301,284.3,0,3,1
8,31,24.7,616,200.1,43.9,836,118,331.7,320.2,322,305.3,4,2,1
6,10,24.84,438,205.65,38.35,438,162,315.7,307.2,309,291.3,2,2,1
6,10,24.84,438,205.65,38.35,438,153,315.7,307.2,308,291.3,2,2,1
9,21,24.98,425,210.68,33.32,324,691,300.7,295.2,297,282.3,2,2,1
5,16,24.95,480,209.6,34.4,380,161,334.7,328.2,329,313.3,1,2,1
5,28,24.89,512,207.44,36.56,512,747,306.7,302.2,304,313.3,1,2,1
5,30,24.79,579,203.67,40.33,579,395,336.7,334.2,338,321.3,1,2,1
7,3,24.87,590,206.73,37.27,788,171,298.7,288.2,290,269.3,1,2,1
7,3,24.84,689,205.65,38.35,788,206,328.7,315.2,317,298.3,1,2,1
8,31,24.7,616,200.1,43.9,836,123,331.7,318.2,320,303.3,1,2,1
8,31,24.69,706,199.7,44.3,815,113,341.7,329.2,330,311.3,1,2,1
9,6,24.87,597,206.73,37.27,696,248,340.7,333.2,337,322.3,1,2,1
5,7,24.85,276,206.01,37.99,177,132,272.7,268.2,269,254.3,0,2,1
5,16,24.9,382,207.8,36.2,382,523,313.7,319.2,326,325.3,0,2,1
5,16,24.92,587,208.52,35.48,388,398,384.7,372.2,369,316.3,0,2,1
5,16,24.97,480,210.32,33.68,380,392,327.7,322.2,324,307.3,0,2,1
5,25,24.95,338,209.6,34.4,338,370,380.7,368.2,364,315.3,0,2,1
5,28,24.89,335,207.44,36.56,435,696,308.7,304.2,307,292.3,0,2,1
5,31,24.79,579,203.67,40.33,579,349,363.7,352.2,346,306.3,0,2,1
7,3,24.88,685,207.08,36.92,784,178,296.7,287.2,287,268.3,0,2,1
7,3,24.87,590,206.73,37.27,788,165,300.7,289.2,291,271.3,0,2,1
7,3,24.86,590,206.37,37.63,788,140,305.7,294.2,297,280.3,0,2,1
7,3,24.85,590,206.01,37.99,788,156,313.7,304.2,305,288.3,0,2,1
7,3,24.84,689,205.65,38.35,788,197,326.7,314.2,315,297.3,0,2,1
7,3,24.84,689,205.65,38.35,788,217,331.7,317.2,318,299.3,0,2,1
7,3,24.84,1010,205.65,38.35,788,379,342.7,330.2,331,314.3,0,2,1
7,4,24.87,908,206.73,37.27,809,527,353.7,340.2,342,323.3,0,2,1
8,31,24.65,385,198.13,45.87,819,150,349.7,335.2,336,316.3,0,2,1
9,1,24.62,769,196.96,47.04,769,494,358.7,343.2,342,318.3,0,2,1
9,6,24.86,601,206.37,37.63,700,213,340.7,333.2,335,320.3,0,2,1
9,7,24.78,337,203.27,40.73,337,442,440.7,428.2,424,373.3,0,2,1
5,15,24.88,283,206.73,37.27,382,177,308.7,302.2,303,288.3,2,1,1
5,16,24.98,481,210.68,33.32,380,446,327.7,322.2,323,306.3,2,1,1
5,30,24.79,466,203.67,40.33,577,444,317.7,318.2,325,321.3,2,1,1
6,3,24.88,513,207.08,36.92,414,317,307.7,297.2,297,278.3,2,1,1
8,24,24.68,242,199.31,44.69,133,234,362.7,355.2,355,340.3,2,1,1
8,31,24.75,493,202.08,41.92,603,264,298.7,287.2,290,270.3,2,1,1
8,31,24.73,386,201.28,42.72,606,213,309.7,294.2,297,279.3,2,1,1
8,31,24.7,616,200.1,43.9,836,113,333.7,322.2,324,306.3,2,1,1
8,31,24.62,769,196.96,47.04,769,463,355.7,342.2,342,318.3,2,1,1
9,21,24.98,166,210.68,33.32,368,737,300.7,295.2,297,282.3,2,1,1
9,21,24.98,368,210.68,33.32,368,689,303.7,295.2,297,325.3,2,1,1
5,4,24.92,280,208.52,35.48,380,371,304.7,295.2,293,265.3,1,1,1
5,4,24.87,396,206.73,37.27,396,248,291.7,283.2,285,270.3,1,1,1
5,4,24.81,0,204.47,39.53,398,356,293.7,285.2,287,272.3,1,1,1
5,4,24.82,371,204.87,39.13,260,401,295.7,287.2,288,272.3,1,1,1
5,16,24.92,587,208.52,35.48,388,445,369.7,361.2,359,331.3,1,1,1
